BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,ZIPCODE,LATITUDE,LONGITUDE,WARD,QUADRANT,SALEYEAR,SALEMONTH,PRICE,PROP CLASS
3,0,Forced Air,Y,2,14,3,1900,>2000,1964,2205.0,1,3 Story,Row End,Average,Good,Common Brick,Built Up,Hardwood,2,0,23,1434,20001.0,38.91277998,-77.01856037,Ward 6,NW,2005,9,575000.0,Middle
1,0,Hot Water Rad,N,1,7,3,1923,No Remodeling,1943,1020.0,1,2 Story,Row Inside,Average,Average,Aluminum,Built Up,Wood Floor,1,0,11,2367,20011.0,38.95718632,-77.02479108,Ward 4,NW,2007,10,355000.0,Lower
2,1,Forced Air,Y,1,6,4,1923,No Remodeling,1961,1392.0,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,0,11,1357,20002.0,38.90484356,-76.99184878,Ward 5,NE,2012,8,270000.0,Lower
2,1,Forced Air,Y,1,6,3,2015,No Remodeling,2016,2208.0,1,2 Story,Row End,Good Quality,Very Good,Face Brick,Comp Shingle,Hardwood/Carp,1,0,11,2520,20018.0,38.92211772,-76.95600227,Ward 5,NE,2015,3,574990.0,Middle
1,0,Hot Water Rad,N,1,6,3,1916,No Remodeling,1950,1680.0,1,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1,0,11,3126,20011.0,38.94526433,-77.02796693,Ward 4,NW,1998,9,120000.0,Lower
4,1,Warm Cool,Y,1,11,5,1950,>2000,1974,3106.0,1,2 Story,Single,Good Quality,Good,Brick/Siding,Comp Shingle,Hardwood,1,2,12,6840,20015.0,38.96288789,-77.06800517,Ward 3,NW,2006,4,728000.0,Middle
2,1,Hot Water Rad,Y,1,7,5,1937,No Remodeling,1969,2498.0,1,2 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1,2,12,5431,20015.0,38.970737,-77.0693096,Ward 4,NW,2015,10,1010000.0,Middle
3,0,Forced Air,Y,1,10,4,2007,No Remodeling,2010,2646.0,1,2 Story,Single,Above Average,Very Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,12,6300,20020.0,38.85712352,-76.98049081,Ward 8,SE,2017,1,435000.0,Lower
3,0,Hot Water Rad,Y,1,15,7,1927,>2000,1969,1678.0,1,2 Story,Semi-Detached,Good Quality,Good,Brick/Stucco,Slate,Hardwood,1,1,13,3614,20008.0,38.94335499,-77.07101603,Ward 3,NW,2013,10,935000.0,Middle
3,2,Forced Air,Y,1,10,4,1948,1971-2000,1973,2536.0,1,1.5 Story Fin,Single,Good Quality,Good,Brick/Siding,Comp Shingle,Hardwood,1,1,12,7697,20015.0,38.97902729,-77.05712035,Ward 4,NW,2016,8,995000.0,Middle
1,1,Hot Water Rad,N,1,6,3,1936,No Remodeling,1957,1392.0,1,2 Story,Single,Above Average,Average,Common Brick,Slate,Hardwood,1,0,12,5306,20018.0,38.93427089,-76.96888095,Ward 5,NE,2016,11,460000.0,Lower
3,1,Hot Water Rad,Y,2,6,4,1909,>2000,1980,1676.0,1,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,0,24,1654,20010.0,38.93257314,-77.03510866,Ward 1,NW,2011,3,413000.0,Lower
2,0,Hot Water Rad,N,1,6,3,1936,No Remodeling,1943,1296.0,1,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1,0,11,1561,20011.0,38.95295573,-77.01568457,Ward 4,NW,2016,7,485000.0,Lower
2,1,Warm Cool,Y,1,6,3,1991,No Remodeling,1995,1344.0,1,3 Story,Semi-Detached,Average,Good,Brick/Siding,Comp Shingle,Carpet,1,0,13,4893,20019.0,38.90530267,-76.93782556,Ward 7,NE,1992,3,115000.0,Lower
4,2,Warm Cool,Y,1,15,5,1938,>2000,1986,2668.0,1,2.5 Story Fin,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1,1,12,5460,20015.0,38.97661731,-77.05913086,Ward 4,NW,2009,6,905000.0,Middle
3,1,Forced Air,Y,1,6,3,2013,No Remodeling,2015,1582.0,1,3 Story,Row End,Good Quality,Very Good,Brick/Siding,Built Up,Hardwood/Carp,1,0,11,973,20017.0,38.92694723,-76.99934195,Ward 5,NE,2013,12,830939.0,Middle
2,2,Warm Cool,Y,1,9,4,1965,No Remodeling,1975,1904.0,1,2 Story,Single,Above Average,Average,Brick/Siding,Comp Shingle,Hardwood,1,1,12,6500,20020.0,38.87236783,-76.95389932,Ward 7,SE,2003,5,265000.0,Lower
